年号一,年号二,公元
光绪四,光绪戊寅,1878
光绪五,光绪己卯,1879
光绪六,光绪庚辰,1880
光绪七,光绪辛巳,1881
光绪八,光绪壬午,1882
光绪九,光绪癸未,1883
光绪十,光绪甲申,1884
光绪十一,光绪乙酉,1885
光绪十二,光绪丙戌,1886
光绪十三,光绪丁亥,1887
光绪十四,光绪戊子,1888
光绪十五,光绪己丑,1889
光绪十六,光绪庚寅,1890
光绪十七,光绪辛卯,1891
光绪十八,光绪壬辰,1892
光绪十九,光绪癸巳,1893
光绪二十,光绪甲午,1894
光绪二十一,光绪乙未,1895
光绪二十二,光绪丙申,1896
光绪二十三,光绪丁酉,1897
光绪二十四,光绪戊戌,1898
光绪二十五,光绪己亥,1899
光绪二十六,光绪庚子,1900
光绪二十七,光绪辛丑,1901
光绪二十八,光绪壬寅,1902
光绪二十九,光绪癸卯,1903
光绪三十,光绪甲辰,1904
光绪三十一,光绪乙巳,1905
光绪三十二,光绪丙午,1906
光绪三十三,光绪丁未,1907
光绪三十四,光绪戊申,1908
宣统元,宣统己酉,1909
宣统二,宣统庚戌,1910
宣统三,宣统辛亥,1911
